Linux 6.8.0-87-generic (jschoi) 	09/08/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:18 AM  1000   3022551    4.00    2.00    0.00    0.00    6.00    14   3607.00      0.00 2593928  163680   0.50  fastlio_mapping
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:42 AM  1000   3022551   33.00    2.00    0.00    0.00   35.00    12   1537.00      0.00 2613980  253644   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:43 AM  1000   3022551   27.00    3.00    0.00    0.00   30.00     2   1824.00      0.00 2613232  254112   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:44 AM  1000   3022551   30.00    1.00    0.00    0.00   31.00     6   1628.00      0.00 2613424  254668   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:45 AM  1000   3022551   32.00    2.00    0.00    0.00   34.00    14   1679.00      0.00 2613620  255288   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:46 AM  1000   3022551   25.00    2.00    0.00    0.00   27.00    14   1719.00      0.00 2613804  255676   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:47 AM  1000   3022551   34.00    2.00    0.00    0.00   36.00    14   1759.00      0.00 2613980  256028   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:48 AM  1000   3022551   28.00    3.00    0.00    0.00   31.00     0   1806.00      0.00 2614160  256344   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:49 AM  1000   3022551   28.00    3.00    0.00    0.00   31.00     6   1851.00      0.00 2614340  256732   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:50 AM  1000   3022551   31.00    2.00    0.00    0.00   33.00     2   2023.00      0.00 2614520  257696   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:51 AM  1000   3022551   29.00    2.00    0.00    0.00   31.00    12   1961.00      0.00 2614696  258208   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:52 AM  1000   3022551   27.00    2.00    0.00    0.00   29.00     6   3841.00      0.00 2622176  258584   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:53 AM  1000   3022551   11.00    1.00    0.00    0.00   12.00     4   2180.00      0.00 2622368  259440   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:54 AM  1000   3022551   38.00    2.00    0.00    0.00   40.00     0   2636.00      0.00 2622576  261776   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:55 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00     0   2150.00      0.00 2622780  262272   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:56 AM  1000   3022551    6.00    3.00    0.00    0.00    9.00     0   2367.00      0.00 2622984  263332   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:57 AM  1000   3022551   24.00    2.00    0.00    0.00   26.00     6   2975.00      0.00 2623188  266516   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:58 AM  1000   3022551   19.00    2.00    0.00    0.00   21.00     6   3146.00      0.00 2623412  270036   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:59 AM  1000   3022551   29.00    2.00    0.00    0.00   31.00     0   2894.00      0.00 2623632  272664   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:00 AM  1000   3022551   25.00    3.00    0.00    0.00   28.00    10   3321.00      0.00 2623848  276592   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:01 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00    10   3552.00      0.00 2624076  281356   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:02 AM  1000   3022551   26.00    3.00    0.00    0.00   29.00     2   2695.00      0.00 2624304  282640   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:03 AM  1000   3022551   31.00    2.00    0.00    0.00   33.00    12   2916.00      0.00 2624548  284368   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:04 AM  1000   3022551   23.00    2.00    0.00    0.00   25.00     2   2792.00      0.00 2624784  285376   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:05 AM  1000   3022551   29.00    2.00    0.00    0.00   31.00     4   3048.00      0.00 2625024  287256   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:06 AM  1000   3022551   18.00    2.00    0.00    0.00   20.00     2   2894.00      0.00 2625256  288240   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:07 AM  1000   3022551   27.00    1.00    0.00    0.00   28.00    10   2844.00      0.00 2625492  288544   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:08 AM  1000   3022551   27.00    1.00    0.00    0.00   28.00    10   3281.00      0.00 2625720  290452   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:09 AM  1000   3022551   26.00    1.00    0.00    0.00   27.00    10   3263.00      0.00 2691464  291896   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:10 AM  1000   3022551   28.00    1.00    0.00    0.00   29.00    12   3201.00      0.00 2691644  293348   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:11 AM  1000   3022551   17.00    2.00    0.00    0.00   19.00    14   3052.00      0.00 2691828  293904   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:12 AM  1000   3022551   29.00    2.00    0.00    0.00   31.00    14   3054.00      0.00 2692000  294392   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:13 AM  1000   3022551   24.00    3.00    0.00    0.00   27.00    12   3102.00      0.00 2692176  294708   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:14 AM  1000   3022551   24.00    1.00    0.00    0.00   25.00    10   3148.00      0.00 2692356  295068   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:15 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00    12   3199.00      0.00 2692544  295444   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:16 AM  1000   3022551   26.00    2.00    0.00    0.00   28.00    10   3249.00      0.00 2692736  295828   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:17 AM  1000   3022551   25.00    2.00    0.00    0.00   27.00    12   3443.00      0.00 2692940  296552   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:18 AM  1000   3022551   25.00    2.00    0.00    0.00   27.00    14   3473.00      0.00 2693168  297528   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:19 AM  1000   3022551   27.00    2.00    0.00    0.00   29.00    14   3693.00      0.00 2693404  298960   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:20 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00     2   3600.00      0.00 2693668  299764   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:21 AM  1000   3022551   23.00    2.00    0.00    0.00   25.00     2   4037.00      0.00 2693928  302172   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:22 AM  1000   3022551   31.00    1.00    0.00    0.00   32.00     2   3681.00      0.00 2694216  302824   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:23 AM  1000   3022551   28.00    2.00    0.00    0.00   30.00     2   4041.00      0.00 2694516  304576   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:24 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00     2   3973.00      0.00 2694788  305696   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:25 AM  1000   3022551   26.00    2.00    0.00    0.00   28.00    10   7539.00      0.00 2709596  306356   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:26 AM  1000   3022551   29.00    2.00    0.00    0.00   31.00     2   3942.00      0.00 2709872  307008   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:27 AM  1000   3022551   22.00    3.00    0.00    0.00   25.00     4   4014.00      0.00 2710108  307608   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:28 AM  1000   3022551   30.00    2.00    0.00    0.00   32.00     2   4205.00      0.00 2710368  308776   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:29 AM  1000   3022551   18.00    2.00    0.00    0.00   20.00     4   4127.00      0.00 2710588  309316   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:30 AM  1000   3022551   31.00    2.00    0.00    0.00   33.00     4   4139.00      0.00 2710796  309816   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:31 AM  1000   3022551   25.00    2.00    0.00    0.00   27.00     8   4192.00      0.00 2711008  310236   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:32 AM  1000   3022551   23.00    3.00    0.00    0.00   26.00     9   4342.00      0.00 2711216  310884   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:33 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00     9   4477.00      0.00 2711416  312052   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:34 AM  1000   3022551   22.00    2.00    0.00    0.00   24.00     9   4340.00      0.00 2711616  312556   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:35 AM  1000   3022551   26.00    2.00    0.00    0.00   28.00     9   4385.00      0.00 2711812  312944   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:36 AM  1000   3022551   23.00    2.00    0.00    0.00   25.00     8   4587.00      0.00 2712008  313916   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:37 AM  1000   3022551   24.00    3.00    0.00    0.00   27.00     9   4548.00      0.00 2712184  314460   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:38 AM  1000   3022551   16.00    2.00    0.00    0.00   18.00     9   4517.00      0.00 2712364  314884   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:39 AM  1000   3022551   26.00    2.00    0.00    0.00   28.00     9   4559.00      0.00 2712540  315236   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:40 AM  1000   3022551   24.00    2.00    0.00    0.00   26.00     9   4642.00      0.00 2712724  315796   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:41 AM  1000   3022551   18.00    2.00    0.00    0.00   20.00     9   4650.00      0.00 2712904  316208   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:42 AM  1000   3022551   17.00    1.00    0.00    0.00   18.00    12   4792.00      0.00 2713084  316800   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:43 AM  1000   3022551   30.00    3.00    0.00    0.00   33.00     9   4748.00      0.00 2713272  317272   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:44 AM  1000   3022551   23.00    1.00    0.00    0.00   24.00     9   4910.00      0.00 2713464  318040   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:45 AM  1000   3022551   20.00    2.00    0.00    0.00   22.00     0   4855.00      0.00 2713668  318540   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:46 AM  1000   3022551   27.00    2.00    0.00    0.00   29.00     0   4909.00      0.00 2713876  318956   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:47 AM  1000   3022551   26.00    1.00    0.00    0.00   27.00    14   4961.00      0.00 2714084  319372   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:48 AM  1000   3022551   20.00    2.00    0.00    0.00   22.00    12   5148.00      0.00 2714304  320196   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:49 AM  1000   3022551   23.00    3.00    0.00    0.00   26.00     2   5511.00      0.00 2714520  322220   0.99  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:50 AM  1000   3022551   20.00    2.00    0.00    0.00   22.00     8   5119.00      0.00 2714724  322732   0.99  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:06:51 AM  1000   3022551   30.00    1.00    0.00    0.00   31.00     2   5188.00      0.00 2714952  323188   0.99  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
