Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:18 PM  1000   1476074    0.99    0.99    0.00    0.00    1.98    11     20.79      0.00  915496  152832   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:42 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00     0    408.00      0.00 2625728  213700   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:43 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     6    370.00      0.00 2626696  215428   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:44 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    12     30.00      0.00 2626744  215428   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:45 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00    12    196.00      0.00 2626792  216196   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:46 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00    12    471.00      0.00 2626832  217160   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:47 PM  1000   1476074   18.00    1.00    0.00    0.00   19.00    14    418.00      0.00 2626880  217640   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:48 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00     2    448.00      0.00 2626924  218164   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:49 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    14    379.00      0.00 2626968  218280   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:50 PM  1000   1476074   19.00    1.00    0.00    0.00   20.00     4    585.00      0.00 2627012  219704   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:51 PM  1000   1476074   17.00    3.00    0.00    0.00   20.00     4    956.00      0.00 2628312  220588   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:52 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    14    446.00      0.00 2628360  221036   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:53 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     8    484.00      0.00 2628404  221616   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:54 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    12    446.00      0.00 2628456  222016   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:55 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     8    586.00      0.00 2628508  223028   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:56 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    12    523.00      0.00 2628560  223564   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:57 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    10    606.00      0.00 2628616  224352   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:58 PM  1000   1476074   18.00    1.00    0.00    0.00   19.00     6    837.00      0.00 2628668  225828   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:59 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     6    682.00      0.00 2628720  226796   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:00 PM  1000   1476074   18.00    1.00    0.00    0.00   19.00     2    601.00      0.00 2628772  227460   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:01 PM  1000   1476074   15.00    3.00    0.00    0.00   18.00     2   1135.00      0.00 2628832  229724   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:02 PM  1000   1476074   18.00    1.00    0.00    0.00   19.00     8    779.00      0.00 2628896  231100   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:03 PM  1000   1476074   19.00    1.00    0.00    0.00   20.00    10    851.00      0.00 2628956  232548   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:04 PM  1000   1476074   17.00    1.00    0.00    0.00   18.00    14   1074.00      0.00 2629020  234976   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:05 PM  1000   1476074   14.00    2.00    0.00    0.00   16.00     0    740.00      0.00 2629080  235816   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:06 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00     8   1042.00      0.00 2628516  236888   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:07 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00    10    790.00      0.00 2628580  237728   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:08 PM  1000   1476074   16.00    3.00    0.00    0.00   19.00     4    663.00      0.00 2628640  238148   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:09 PM  1000   1476074   15.00    3.00    0.00    0.00   18.00     6    860.00      0.00 2628704  239236   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:10 PM  1000   1476074   16.00    3.00    0.00    0.00   19.00    10   1050.00      0.00 2628776  241040   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:11 PM  1000   1476074   17.00    1.00    0.00    0.00   18.00     4   1007.00      0.00 2628852  242368   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:12 PM  1000   1476074   16.00    1.00    0.00    0.00   17.00    14   2034.00      0.00 2631744  245428   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:13 PM  1000   1476074   19.00    2.00    0.00    0.00   21.00    10   1326.00      0.00 2631820  248000   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:14 PM  1000   1476074   19.00    3.00    0.00    0.00   22.00     8   1366.00      0.00 2631896  250764   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:15 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     6    948.00      0.00 2631976  251684   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:16 PM  1000   1476074   19.00    1.00    0.00    0.00   20.00    10   1068.00      0.00 2632048  253132   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:17 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00    10   1251.00      0.00 2632128  255016   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:18 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00     8   1373.00      0.00 2632204  257608   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:19 PM  1000   1476074   19.00    1.00    0.00    0.00   20.00    10   1173.00      0.00 2632544  259276   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:20 PM  1000   1476074   20.00    2.00    0.00    0.00   22.00    12    915.00      0.00 2632616  260004   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:21 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    12    981.00      0.00 2632908  260632   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:22 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00     8    922.00      0.00 2632976  261176   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:23 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00    12    919.00      0.00 2633036  261408   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:24 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00    14   1010.00      0.00 2633092  262088   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:25 PM  1000   1476074   16.00    1.00    0.00    0.00   17.00    12    948.00      0.00 2633352  262616   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:26 PM  1000   1476074   14.00    2.00    0.00    0.00   16.00    12   1113.00      0.00 2633408  263300   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:27 PM  1000   1476074   14.00    1.00    0.00    0.00   15.00    12   1010.00      0.00 2633644  263592   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:28 PM  1000   1476074   15.00    1.00    0.00    0.00   16.00     0   1050.00      0.00 2633696  264460   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:29 PM  1000   1476074   13.00    2.00    0.00    0.00   15.00    12   1020.00      0.00 2633748  264756   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:30 PM  1000   1476074   13.00    3.00    0.00    0.00   16.00     2   1051.00      0.00 2633796  265124   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:31 PM  1000   1476074   15.00    1.00    0.00    0.00   16.00     4   1184.00      0.00 2633840  265984   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:32 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00     4   1244.00      0.00 2633888  266860   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:33 PM  1000   1476074   11.00    3.00    0.00    0.00   14.00     4   1013.00      0.00 2633936  267240   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:34 PM  1000   1476074   15.00    3.00    0.00    0.00   18.00    10   1059.00      0.00 2633980  267848   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:35 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00     8   1134.00      0.00 2634028  268332   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:36 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00     8   1129.00      0.00 2634312  268804   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:37 PM  1000   1476074   13.00    1.00    0.00    0.00   14.00     0   1173.00      0.00 2634356  269480   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:38 PM  1000   1476074   15.00    2.00    0.00    0.00   17.00     0   1079.00      0.00 2634396  269600   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:39 PM  1000   1476074   14.00    3.00    0.00    0.00   17.00     6   1125.00      0.00 2634436  269948   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:40 PM  1000   1476074   10.00    2.00    0.00    0.00   12.00     0   1219.00      0.00 2634476  270876   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:41 PM  1000   1476074   14.00    2.00    0.00    0.00   16.00     6   1173.00      0.00 2634520  271568   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:42 PM  1000   1476074   14.00    2.00    0.00    0.00   16.00     2   1092.00      0.00 2634696  271664   0.83  fastlio_mapping

