Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:33 AM  1000     65636    6.00    2.00    0.00    0.00    8.00     9   4823.00      0.00 2621312  171280   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:34 AM  1000     65636   12.00    3.00    0.00    0.00   15.00     8   3003.00      0.00 2621312  183184   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:35 AM  1000     65636   17.00    3.00    0.00    0.00   20.00     0   2196.00      0.00 2621344  190384   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:36 AM  1000     65636   15.00    2.00    0.00    0.00   17.00     2   1017.00      0.00 2621344  194608   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:37 AM  1000     65636   17.00    2.00    0.00    0.00   19.00     0    758.00      0.00 2621972  197872   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:38 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     4    332.00      0.00 2622008  199024   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:39 AM  1000     65636   15.00    3.00    0.00    0.00   18.00    12    248.00      0.00 2622008  199984   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:40 AM  1000     65636   18.00    1.00    0.00    0.00   19.00    12     93.00      0.00 2622012  200560   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:41 AM  1000     65636   16.00    1.00    0.00    0.00   17.00    12    239.00      0.00 2622544  201136   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:42 AM  1000     65636   17.00    2.00    0.00    0.00   19.00     0     54.00      0.00 2622544  201328   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:43 AM  1000     65636   15.00    2.00    0.00    0.00   17.00    12    241.00      0.00 2622860  202288   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:44 AM  1000     65636   17.00    3.00    0.00    0.00   20.00     6    275.00      0.00 2622860  203440   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:45 AM  1000     65636   16.00    3.00    0.00    0.00   19.00     6    145.00      0.00 2622860  204016   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:46 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     8     88.00      0.00 2622860  204400   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:47 AM  1000     65636   16.00    2.00    0.00    0.00   18.00    14    103.00      0.00 2623224  204976   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:48 AM  1000     65636   17.00    2.00    0.00    0.00   19.00     6    236.00      0.00 2623224  206128   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:49 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     2    150.00      0.00 2623224  206704   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:50 AM  1000     65636   17.00    3.00    0.00    0.00   20.00     4     75.00      0.00 2623224  207280   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:51 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     6    208.00      0.00 2623224  208048   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:52 AM  1000     65636   17.00    2.00    0.00    0.00   19.00    12    162.00      0.00 2623224  208624   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:53 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     8    147.00      0.00 2623224  209008   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:54 AM  1000     65636   13.00    2.00    0.00    0.00   15.00    14    120.00      0.00 2623472  209392   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:55 AM  1000     65636   15.00    1.00    0.00    0.00   16.00    14    243.00      0.00 2623472  210544   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:56 AM  1000     65636   16.00    2.00    0.00    0.00   18.00     0    192.00      0.00 2623472  211504   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:57 AM  1000     65636   15.00    2.00    0.00    0.00   17.00     8     30.00      0.00 2623476  211504   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:29:58 AM  1000     65636   15.00    2.00    0.00    0.00   17.00    10     92.00      0.00 2623476  211696   0.65  fastlio_mapping

