Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:55 PM  1000     43898   23.00    2.00    0.00    0.00   25.00    12   1821.00      0.00 2628276  279432   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:56 PM  1000     43898   15.00    2.00    0.00    0.00   17.00    10   1817.00      0.00 2628408  283896   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:57 PM  1000     43898   17.00    2.00    0.00    0.00   19.00     8   1665.00      0.00 2628540  287296   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:58 PM  1000     43898   20.00    2.00    0.00    0.00   22.00    12   1954.00      0.00 2628668  291604   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:59 PM  1000     43898   23.00    1.00    0.00    0.00   24.00     0   2375.00      0.00 2628796  297888   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:00 PM  1000     43898   15.00    2.00    0.00    0.00   17.00    14    994.00      0.00 2628916  298220   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:01 PM  1000     43898   19.00    2.00    0.00    0.00   21.00     2   1829.00      0.00 2629044  301936   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:02 PM  1000     43898   14.00    2.00    0.00    0.00   16.00     4   2836.00      0.00 2632784  305640   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:03 PM  1000     43898   20.00    1.00    0.00    0.00   21.00     4   1717.00      0.00 2632908  308576   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:04 PM  1000     43898   19.00    2.00    0.00    0.00   21.00     2   2046.00      0.00 2633032  312604   0.96  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:05 PM  1000     43898   18.00    2.00    0.00    0.00   20.00     8   1662.00      0.00 2633164  315172   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:06 PM  1000     43898   23.00    1.00    0.00    0.00   24.00    14   1529.00      0.00 2633300  317016   0.97  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:07 PM  1000     43898   21.00    2.00    0.00    0.00   23.00    12   1821.00      0.00 2633432  319700   0.98  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:08 PM  1000     43898   18.00    1.00    0.00    0.00   19.00    10   2118.00      0.00 2634392  323492   0.99  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:09 PM  1000     43898   22.00    3.00    0.00    0.00   25.00    14   1983.00      0.00 2635356  326744   1.00  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:10 PM  1000     43898   16.00    2.00    0.00    0.00   18.00    10   1569.00      0.00 2635476  328240   1.01  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:11 PM  1000     43898   20.00    2.00    0.00    0.00   22.00    14   1677.00      0.00 2634648  329176   1.01  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:12 PM  1000     43898   20.00    1.00    0.00    0.00   21.00    14    334.00      0.00 2634768  330520   1.01  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:13 PM  1000     43898   20.00    1.00    0.00    0.00   21.00     0   1372.00      0.00 2634888  330860   1.01  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:14 PM  1000     43898   19.00    3.00    0.00    0.00   22.00    14   1486.00      0.00 2635312  331284   1.02  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:15 PM  1000     43898   22.00    1.00    0.00    0.00   23.00     8   1417.00      0.00 2635416  331540   1.02  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:16 PM  1000     43898   17.00    2.00    0.00    0.00   19.00    14   1673.00      0.00 2635508  332492   1.02  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:17 PM  1000     43898   18.00    1.00    0.00    0.00   19.00     8   1465.00      0.00 2635580  332636   1.02  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:18 PM  1000     43898   17.00    2.00    0.00    0.00   19.00     4   1840.00      0.00 2635636  334284   1.03  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:19 PM  1000     43898   16.00    2.00    0.00    0.00   18.00     6   1459.00      0.00 2635688  334396   1.03  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:20 PM  1000     43898   11.00    1.00    0.00    0.00   12.00     4   1467.00      0.00 2635736  334532   1.03  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
