Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:46 AM  1000    734847    6.00    3.00    0.00    0.00    9.00     9   8163.00      0.00 2616716  183120   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:47 AM  1000    734847   20.00    3.00    0.00    0.00   23.00     9   8715.00      0.00 2616716  201776   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:48 AM  1000    734847   24.00    5.00    0.00    0.00   29.00     4   7682.00      0.00 2618248  210896   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:49 AM  1000    734847   26.00    4.00    0.00    0.00   30.00     1   4087.00      0.00 2616808  211536   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:50 AM  1000    734847   22.00    4.00    0.00    0.00   26.00     1   3675.00      0.00 2616816  214472   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:51 AM  1000    734847   25.00    3.00    0.00    0.00   28.00     1   3925.00      0.00 2616820  218328   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:52 AM  1000    734847   25.00    4.00    0.00    0.00   29.00     2   4033.00      0.00 2618264  217468   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:53 AM  1000    734847   22.00    4.00    0.00    0.00   26.00     4   2708.00      0.00 2618264  222872   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:54 AM  1000    734847   22.00    3.00    0.00    0.00   25.00     8   3224.00      0.00 2618148  222436   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:55 AM  1000    734847   22.00    4.00    0.00    0.00   26.00     4   2027.00      0.00 2616820  222588   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:56 AM  1000    734847   25.00    3.00    0.00    0.00   28.00    10   3180.00      0.00 2618940  222396   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:57 AM  1000    734847   23.00    3.00    0.00    0.00   26.00     0   1797.00      0.00 2619100  225760   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:58 AM  1000    734847   25.00    2.00    0.00    0.00   27.00    10   1640.00      0.00 2619100  220100   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:59 AM  1000    734847   21.00    4.00    0.00    0.00   25.00    10   3828.00      0.00 2619208  223500   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:05:00 AM  1000    734847   24.00    3.00    0.00    0.00   27.00     6   2123.00      0.00 2617720  221624   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:05:01 AM  1000    734847   22.00    4.00    0.00    0.00   26.00     0   2573.00      0.00 2619240  223424   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:05:02 AM  1000    734847   25.00    3.00    0.00    0.00   28.00    14   2626.00      0.00 2619720  225048   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:05:03 AM  1000    734847   22.00    2.00    0.00    0.00   24.00     0   2752.00      0.00 2620064  231036   0.71  fastlio_mapping

