Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:10 PM  1000     35104    2.00    2.00    0.00    0.00    4.00    10     78.00      0.00 2613760  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:11 PM  1000     35104    3.00    3.00    0.00    0.00    6.00     8      1.00      0.00 2613760  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:12 PM  1000     35104    5.00    1.00    0.00    0.00    6.00     8      0.00      0.00 2613760  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:13 PM  1000     35104    5.00    2.00    0.00    0.00    7.00    12      0.00      0.00 2613760  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:14 PM  1000     35104   10.00    6.00    0.00    0.00   16.00     6  22866.00      0.00 2617220  220640   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:15 PM  1000     35104   17.00    1.00    0.00    0.00   18.00    14   4782.00      0.00 2618632  231240   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:16 PM  1000     35104   34.00    2.00    0.00    0.00   36.00    12   5438.00      0.00 2619040  243140   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:17 PM  1000     35104   19.00    2.00    0.00    0.00   21.00    14   4395.00      0.00 2619040  236648   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:42:18 PM  1000     35104   24.00    2.00    0.00    0.00   26.00     2   4216.00      0.00 2620052  239572   0.73  fastlio_mapping

