t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769438249.251520,0,nan,nan,0,0,0
1769438249.349632,0,nan,nan,0,0,0
1769438249.449118,0,nan,nan,0,0,0
1769438249.549167,0,nan,nan,0,0,0
1769438249.649100,0,nan,nan,0,0,1
1769438249.749327,0,nan,nan,0,0,1
1769438249.849946,0,nan,nan,0,0,1
1769438249.949691,0,nan,nan,0,0,1
1769438250.050846,0,nan,nan,0,0,1
1769438250.149218,0,nan,nan,0,1,1
1769438250.249667,2647,792.957624,0.299568,0,1,1
1769438250.349234,2605,772.379902,0.296499,0,1,1
1769438250.449543,2631,792.117946,0.301071,0,1,0
1769438250.549100,2624,769.465674,0.293241,0,0,0
1769438250.649735,2616,772.643210,0.295353,0,0,0
1769438250.749919,2666,785.105927,0.294488,0,0,0
1769438250.849045,2642,784.181521,0.296814,0,0,0
1769438250.950634,2689,792.164676,0.294595,0,0,0
1769438251.050699,2704,815.289101,0.301512,0,0,0
1769438251.150683,2663,803.463708,0.301714,0,0,0
1769438251.249501,2684,806.655817,0.300542,0,0,0
1769438251.348925,2696,816.308429,0.302785,0,0,0
1769438251.449045,2651,787.438362,0.297034,0,0,0
1769438251.550549,2711,808.313401,0.298161,0,0,0
1769438251.650662,2639,777.131669,0.294480,0,0,0
1769438251.750058,2641,790.056473,0.299151,0,0,0
1769438251.847539,2597,768.055516,0.295747,0,0,0
1769438251.950871,2623,779.530227,0.297190,0,0,0
1769438252.049421,2594,768.542437,0.296277,0,0,0
1769438252.149036,2595,772.691383,0.297762,0,0,0
1769438252.249709,2630,770.408610,0.292931,0,0,0
1769438252.348981,2526,751.799997,0.297625,0,0,0
1769438252.449328,2689,782.172412,0.290879,0,0,0
1769438252.551044,2647,781.343246,0.295181,0,0,0
1769438252.649675,2616,771.735981,0.295006,0,0,0
1769438252.749485,2602,772.432148,0.296861,0,0,0
1769438252.848912,2573,769.504126,0.299069,0,0,0
1769438252.949019,2576,762.745430,0.296097,0,0,0
1769438253.049393,2618,782.153042,0.298760,0,0,0
1769438253.149211,2572,750.875848,0.291942,0,0,0
1769438253.250465,2609,760.874053,0.291634,0,0,0
1769438253.349850,2612,750.802134,0.287443,0,0,0
1769438253.449603,2598,765.262076,0.294558,0,0,0
1769438253.549716,2654,784.351161,0.295535,0,0,0
1769438253.649222,2630,772.081794,0.293567,0,0,0
1769438253.750593,2616,783.100855,0.299350,0,0,0
1769438253.849017,2638,776.837104,0.294480,0,0,0
1769438253.949023,2619,778.531835,0.297263,0,0,0
1769438254.048868,2599,773.322241,0.297546,0,0,0
1769438254.149026,2630,770.032008,0.292788,0,0,0
1769438254.251678,2607,770.575305,0.295579,0,0,0
1769438254.349749,2578,753.732702,0.292371,0,0,0
1769438254.449535,2555,738.869311,0.289186,0,0,0
1769438254.549387,2571,747.548937,0.290762,0,0,0
1769438254.649045,2585,759.453686,0.293793,0,0,0
1769438254.749888,2485,720.920739,0.290109,0,0,0
1769438254.850530,2603,765.083195,0.293924,0,0,0
1769438254.949464,2548,730.419898,0.286664,0,0,0
1769438255.049633,2665,783.544330,0.294013,0,0,0
1769438255.149637,2554,748.821514,0.293196,0,0,0
1769438255.251157,2602,764.343878,0.293752,0,0,0
1769438255.350776,2519,741.115615,0.294210,0,0,0
1769438255.449232,2585,760.793160,0.294311,0,0,0
1769438255.549583,2625,773.288326,0.294586,0,0,0
1769438255.649289,2589,772.846268,0.298511,0,0,0
1769438255.749174,2591,765.877087,0.295591,0,0,0
1769438255.848935,2609,761.545491,0.291892,0,0,0
1769438255.949034,2660,770.693999,0.289735,0,0,0
1769438256.049472,2597,772.162610,0.297329,0,0,0
1769438256.149021,2646,792.947658,0.299678,0,0,0
1769438256.249533,2656,783.401671,0.294955,0,0,0
1769438256.348917,2668,798.794313,0.299398,0,0,0
1769438256.449532,2649,785.567711,0.296553,0,0,0
1769438256.548932,2694,802.852817,0.298015,0,0,0
1769438256.648910,2621,783.323721,0.298864,0,0,0
1769438256.750678,2639,782.913265,0.296670,0,0,0
1769438256.850877,2578,762.817321,0.295895,0,0,0
1769438256.950631,2620,777.092218,0.296600,0,0,0
1769438257.048913,2599,759.095456,0.292072,0,0,0
1769438257.152627,2593,769.261420,0.296668,0,0,0
1769438257.250781,2589,757.875925,0.292729,0,0,0
1769438257.349650,2572,765.884722,0.297778,0,0,0
1769438257.449534,2645,770.450268,0.291286,0,0,0
1769438257.550503,2615,771.856100,0.295165,0,0,0
1769438257.649146,2627,771.958085,0.293855,0,0,0
1769438257.749974,2652,791.383402,0.298410,0,0,0
1769438257.849029,2608,785.508854,0.301192,0,0,0
1769438257.948869,2577,771.252762,0.299283,0,0,0
1769438258.048876,2545,758.298877,0.297956,0,0,0
1769438258.149134,2642,780.703335,0.295497,0,0,0
1769438258.250085,2631,770.937738,0.293021,0,0,0
1769438258.349001,2651,783.855211,0.295683,0,0,0
1769438258.449473,2661,777.261984,0.292094,0,0,0
1769438258.550530,2697,785.189846,0.291135,0,0,0
1769438258.650905,2659,790.205701,0.297182,0,0,0
1769438258.749102,2772,831.229263,0.299866,0,0,0
1769438258.849548,2690,806.370059,0.299766,0,0,0
1769438258.949533,2736,820.271803,0.299807,0,0,0
1769438259.048978,2691,803.457047,0.298572,0,0,0
1769438259.149428,2742,820.951080,0.299399,0,0,0
1769438259.249058,2738,810.599494,0.296055,0,0,0
1769438259.351007,2700,791.960900,0.293319,0,0,0
1769438259.449425,2667,783.255640,0.293684,0,0,0
1769438259.549369,2660,766.432947,0.288133,0,0,0
1769438259.649194,2682,759.511406,0.283188,0,0,0
1769438259.749008,2628,765.944972,0.291455,0,0,0
1769438259.848942,2739,786.640653,0.287200,0,0,0
1769438259.948832,2676,764.531726,0.285699,0,0,0
1769438260.051683,2759,798.986645,0.289593,0,0,0
1769438260.149938,2696,781.393911,0.289835,0,0,0
1769438260.249548,2664,770.627620,0.289275,0,0,0
1769438260.349490,2688,777.655986,0.289307,0,0,0
1769438260.449630,2673,783.685695,0.293186,0,0,0
1769438260.550682,2628,759.097281,0.288850,0,0,0
1769438260.649556,2722,797.114198,0.292841,0,0,0
1769438260.750509,2673,775.244293,0.290028,0,0,0
1769438260.849961,2723,788.045170,0.289403,0,0,0
1769438260.948830,2746,800.585627,0.291546,0,0,0
1769438261.048975,2785,810.649060,0.291077,0,0,0
1769438261.148997,2740,797.342152,0.291001,0,0,0
1769438261.251049,2775,823.470793,0.296746,0,0,0
1769438261.349457,2752,816.340941,0.296636,0,0,0
1769438261.448947,2747,799.569485,0.291070,0,0,0
1769438261.549315,2795,819.587273,0.293233,0,0,0
1769438261.650653,2727,799.993798,0.293360,0,0,0
1769438261.749458,2704,781.076062,0.288859,0,0,0
1769438261.849800,2711,799.927425,0.295067,0,0,0
1769438261.950493,2723,788.312335,0.289501,0,0,0
1769438262.049566,2673,775.754310,0.290219,0,0,0
1769438262.149598,2699,771.399951,0.285810,0,0,0
1769438262.249359,2714,776.109146,0.285965,0,0,0
1769438262.349047,2665,778.224239,0.292017,0,0,0
1769438262.448850,2727,778.540066,0.285493,0,0,0
1769438262.549676,2713,774.249731,0.285385,0,0,0
1769438262.650019,2781,809.489525,0.291079,0,0,0
1769438262.749439,2755,804.319564,0.291949,0,0,0
1769438262.849496,2701,790.967185,0.292842,0,0,0
1769438262.950588,2634,759.590488,0.288379,0,0,0
1769438263.048908,2739,812.383792,0.296599,0,0,0
1769438263.150430,2691,765.151862,0.284337,0,0,0
1769438263.250608,2644,755.691607,0.285814,0,0,0
1769438263.348987,2733,784.351989,0.286993,0,0,0
1769438263.451331,2750,777.427162,0.282701,0,0,0
1769438263.549611,2725,784.822796,0.288008,0,0,0
1769438263.650411,2764,815.144820,0.294915,0,0,0
1769438263.749407,2812,823.267218,0.292769,0,0,0
1769438263.849482,2726,808.431874,0.296563,0,0,0
1769438263.950721,2736,811.383655,0.296558,0,0,0
1769438264.050410,2674,790.334770,0.295563,0,0,0
1769438264.149109,2622,774.404630,0.295349,0,0,0
1769438264.248687,2723,805.488633,0.295809,0,0,0
1769438264.350082,2679,787.134847,0.293817,0,0,0
1769438264.450422,2607,760.481561,0.291708,0,0,0
1769438264.548779,2706,794.651319,0.293663,0,0,0
1769438264.650419,2681,782.246811,0.291774,0,0,0
1769438264.750545,2603,777.184142,0.298572,0,0,0
1769438264.848930,2659,784.387176,0.294993,0,0,0
1769438264.950459,2657,779.616799,0.293420,0,0,0
1769438265.050428,2704,808.587568,0.299034,0,0,0
1769438265.149574,2619,773.001539,0.295151,0,0,0
1769438265.252154,2692,815.980783,0.303113,0,0,0
1769438265.350586,2629,781.039937,0.297086,0,0,0
1769438265.451063,2692,813.146691,0.302060,0,0,0
