Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:57 PM  1000     23883   24.00    2.00    0.00    0.00   26.00     4    744.00      0.00 2604500  230224   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:58 PM  1000     23883   23.00    3.00    0.00    0.00   26.00    10    694.00      0.00 2604584  230876   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:59 PM  1000     23883   22.00    2.00    0.00    0.00   24.00     8    710.00      0.00 2604664  231636   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:00 PM  1000     23883   25.00    1.00    0.00    0.00   26.00     9    914.00      0.00 2604740  233216   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:01 PM  1000     23883   24.00    2.00    0.00    0.00   26.00     1    628.00      0.00 2604812  233360   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:02 PM  1000     23883   19.00    2.00    0.00    0.00   21.00     1    643.00      0.00 2604884  233624   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:03 PM  1000     23883   24.00    1.00    0.00    0.00   25.00     1    699.00      0.00 2604020  233020   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:04 PM  1000     23883   23.00    1.00    0.00    0.00   24.00    10    687.00      0.00 2604092  233188   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:05 PM  1000     23883   19.00    2.00    0.00    0.00   21.00     4    928.00      0.00 2604168  234320   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:06 PM  1000     23883   24.00    1.00    0.00    0.00   25.00     0    727.00      0.00 2604240  234516   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:07 PM  1000     23883   21.00    2.00    0.00    0.00   23.00     2    726.00      0.00 2604312  234508   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:08 PM  1000     23883   21.00    2.00    0.00    0.00   23.00     4    930.00      0.00 2604388  235164   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:09 PM  1000     23883   25.00    1.00    0.00    0.00   26.00     2    842.00      0.00 2604456  235492   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:10 PM  1000     23883   21.00    2.00    0.00    0.00   23.00    12    783.00      0.00 2604532  235644   0.72  fastlio_mapping

