Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:52 PM  1000    130506   10.00    3.00    0.00    0.00   13.00    12   6061.00      0.00 2596992  172284   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:53 PM  1000    130506   24.00    3.00    0.00    0.00   27.00    12   6403.00      0.00 2596992  193200   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:54 PM  1000    130506   25.00    3.00    0.00    0.00   28.00    14   5337.00      0.00 2596992  207940   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:55 PM  1000    130506   24.00    3.00    0.00    0.00   27.00    12   2912.00      0.00 2596992  215156   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:56 PM  1000    130506   28.00    2.00    0.00    0.00   30.00    14   2238.00      0.00 2598436  218224   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:57 PM  1000    130506   24.00    2.00    0.00    0.00   26.00    12    958.00      0.00 2598436  218572   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:58 PM  1000    130506   24.00    2.00    0.00    0.00   26.00     2   1573.00      0.00 2598436  217396   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:06:59 PM  1000    130506   25.00    2.00    0.00    0.00   27.00     4   1640.00      0.00 2598436  216080   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:07:00 PM  1000    130506   30.00    2.00    0.00    0.00   32.00     6   2101.00      0.00 2598436  217764   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:07:01 PM  1000    130506   27.00    2.00    0.00    0.00   29.00     6   2089.00      0.00 2600744  218856   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:07:02 PM  1000    130506   27.00    1.00    0.00    0.00   28.00    12   1056.00      0.00 2600748  217692   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:07:03 PM  1000    130506   26.00    2.00    0.00    0.00   28.00     2   1329.00      0.00 2600748  217712   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:07:04 PM  1000    130506   26.00    2.00    0.00    0.00   28.00     2   2241.00      0.00 2601872  218936   0.67  fastlio_mapping

